"STATION","NAME","DATE","ACMC","ACMH","ACSC","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-27",,"   80",,"   60",,," 1948","0.00",,"0.0","0.0",,"38","27",,"  350",,,"  360",,"15.0",,,"20.8",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-28",,"  100",,"  100",,," 0148","0.00",,"0.0","0.0",,"28","19",,"  340",,,"  360",,"14.1",,,"16.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-29",,"   60",,"   50",,," 1230","0.00",,"0.0","0.0",,"23","14",,"  300",,,"  315",,"15.0",,,"21.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-30",,"  100",,"  100",,," 2048","0.11",,"2.6","0.0",,"22","14",,"   60",,,"   45",,"13.0",,,"20.8",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-31",,"   40",,"   10",,," 1412","0.04",,"0.6","3.0",,"20","10",,"  330",,,"  315","0.2","16.1",,,"21.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-01",,"   40",,"   40",,," 1542","0.00",,"0.0","2.0",,"21","2",,"  350",,,"  360","0.2","17.0",,,"25.3","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-02",,"   50",,"  100",,," 1306","0.00",,"0.0","2.0",,"21","-3",,"  250",,,"  270","0.2","6.9",,,"11.4",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-03",,"   60",,"   90",,," 1454","0.00",,"0.0","2.0",,"23","2",,"  130",,,"  360","0.2","8.1",,,"13.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-04",,"   10",,"    0",,," 1518","0.00",,"0.0","2.0",,"25","5",,"  290",,,"  315","0.2","8.1",,,"12.8","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-05",,"   80",,"  100",,," 1542","0.05",,"1.0","1.0",,"28","7",,"  110",,,"  135",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-06",,"  100",,"  100",,," 1918","0.09",,"1.2","3.0",,"30","25",,"   20",,,"  360","0.2","12.1",,,"16.1","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-07",,"   20",,"   10",,," 0306","0.00",,"0.0","3.0",,"27","13",,"   10",,,"  360","0.2","10.1",,,"16.1","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-08",,"   90",,"  100",,," 1130","0.00",,"0.2","2.0",,"28","12",,"   90",,,"   90","0.2","8.9",,,"12.8","    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-09",,"  100",,"  100",,," 1748","0.05",,"1.3","3.0",,"29","26",,"  350",,,"  360","0.3","14.1",,,"17.2","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-10",,"   70",,"   80",,," 1542","0.00",,"0.0","3.0",,"29","11",,"  200",,,"  225","0.3","10.1",,,"16.1","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-11",,"   80",,"  100",,," 1600","0.02",,"0.7","2.0",,"30","11",,"  250",,,"  225","0.3","21.0",,,"27.5","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-12",,"    0",,"    0",,," 1154","0.00",,"0.0","3.0",,"25","-1",,"  260",,,"  270","0.3","8.9",,,"13.9",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-13",,"   20",,"    0",,," 1312","0.00",,"0.0","2.0",,"33","2",,"  200",,,"  180",,"12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-14",,"  100",,"  100",,," 0106","0.00",,"0.0","1.0",,"40","26",,"  220",,,"  180",,"8.9",,,"13.9",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-15",,"  100",,"  100",,," 2354","0.25",,"0.5","0.0",,"40","31",,"  360",,,"  360",,"16.1",,,"23.0","    1","    1",,,,,,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-16",,"   80",,"   80",,," 0124","0.08",,"1.3","2.0",,"31","9",,"  320",,,"  360","0.2","17.9",,,"27.5","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-17",,"   10",,"   10",,," 1412","0.00",,"0.0","2.0",,"17","-1",,"  250",,,"  225","0.2","14.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-18",,"   30",,"   40",,," 1518","0.00",,"0.0","2.0",,"35","4",,"  210",,,"  180","0.2","14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-19",,"   90",,"  100",,," 1336","0.00",,"0.0","0.0",,"46","27",,"  200",,,"  225",,"13.0",,,"20.8",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-20",,"  100",,"  100",,," 0254","0.01",,"0.0","0.0",,"43","36",,"  180",,,"  225",,"8.9",,,"16.1","    1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-21",,"  100",,"  100",,," 1842","0.01",,"0.0","0.0",,"51","38",,"   90",,,"  135",,"17.0",,,"25.3","    1","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-22",,"   80",,"   80",,," 0924","0.00",,"0.0","0.0",,"56","42",,"  260",,,"  270",,"28.0",,,"36.7","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-23",,"  100",,"  100",,," 1718","0.08",,"0.0","0.0",,"48","34",,"  310",,,"  315",,"14.1",,,"20.8","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-24",,"   90",,"  100",,," 0506","0.00",,"0.0","0.0",,"39","28",,"  290",,,"  270",,"13.0",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-25",,"   80",,"  100",,," 2024","0.08",,"0.9","0.0",,"35","20",,"  360",,,"  360",,"34.9",,,"52.8","    1",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-26",,"   40",,"   30",,," 0112","0.00",,"0.3","1.0",,"24","9",,"  350",,,"  360",,"23.9",,,"36.7",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-27",,"  100",,"  100",,," 0848","0.00",,"0.0","0.0",,"33","23",,"  230",,,"  270",,"21.0",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-28",,"   80",,"   90",,," 1542","0.27",,"3.5","4.0",,"29","11",,"   10",,,"  360","0.3","13.0",,,"18.3","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-02-29",,"   50",,"   30",,," 2206","0.05",,"1.0","3.0",,"18","8",,"   50",,,"   45","0.3","19.9",,,"27.5",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-01",,"   90",,"  100",,," 1136","0.34",,"7.1","8.0",,"13","6",,"   60",,,"   45","0.7","23.0",,,"31.1",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-02",,"   10",,"    0",,," 1012","0.00",,"0.0","11.0",,"14","-5",,"   20",,,"   45","0.7","15.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-03",,"   50",,"   60",,," 1706","0.00",,"0.0","11.0",,"30","-11",,"  190",,,"  180","0.7","16.1",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-04",,"   90",,"  100",,," 1112","0.31",,"0.0","10.0",,"40","25",,"  210",,,"  225","0.6","17.0",,,"26.4","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-05",,"  100",,"  100",,," 1054","0.32",,"0.0","2.0",,"46","29",,"  320",,,"  270",,"21.9",,,"30.0","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-06",,"   90",,"   80",,," 1230","0.00",,"0.0","0.0",,"43","22",,"  320",,,"  180",,"15.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-07",,"  100",,"  100",,," 1124","0.27",,"0.0","0.0",,"56","30",,"  200",,,"   90",,"17.9",,,"23.0","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-08",,"   90",,"   80",,," 1330","0.25",,"0.0","0.0",,"64","36",,"  310",,,"  315",,"23.0",,,"35.6","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-09",,"   40",,"   20",,," 1418","0.00",,"0.0","0.0",,"49","32",,"  250",,,"  270",,"14.1",,,"21.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-10",,"   90",,"  100",,," 2036","0.06",,"0.0","0.0",,"58","27",,"  310",,,"  315",,"23.0",,,"43.6","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-11",,"   30",,"   10",,," 0018","0.00",,"0.0","0.0",,"37","20",,"  300",,,"  315",,"16.1",,,"32.2",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-12",,"   80",,"  100",,," 1554","0.04",,"0.2","0.0",,"37","23",,"  100",,,"   90",,"23.0",,,"31.1",,,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-13",,"  100",,"  100",,," 2148","0.24",,"0.4","0.0",,"42","30",,"  270",,,"  270",,"21.0",,,"32.2","    1","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-14",,"   60",,"   60",,," 0336","0.00",,"0.0","0.0",,"42","28",,"  310",,,"  315",,"23.9",,,"35.6",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-15",,"   20",,"   40",,," 1542","0.00",,"0.0","0.0",,"63","26",,"  200",,,"  180",,"16.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-16",,"   80",,"  100",,," 1318","0.00",,"0.0","0.0",,"67","45",,"  240",,,"  225",,"25.9",,,"41.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-17",,"  100",,"  100",,," 1642","0.46",,"0.2","0.0",,"57","34",,"  300",,,"  315",,"19.9",,,"30.0","    1",,,"    1",,,,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-18",,"   10",,"    0",,," 0048","0.00",,"0.0","0.0",,"47","27",,"  290",,,"  270",,"17.9",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-19",,"   70",,"   90",,," 1530","0.00",,"0.0","0.0",,"56","30",,"  220",,,"  225",,"25.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-20",,"   90",,"  100",,," 2312","0.53",,"0.0","0.0",,"56","46",,"  210",,,"  180",,"17.0",,,"28.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-21",,"   70",,"   90",,," 1218","0.26",,"0.0","0.0",,"56","36",,"  310",,,"  315",,"28.0",,,"43.6","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-22",,"   10",,"    0",,," 0900","0.00",,"0.0","0.0",,"51","27",,"  320",,,"  315",,"12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-23",,"   80",,"  100",,," 1200","0.00",,"0.0","0.0",,"57","31",,"  150",,,"  135",,"14.1",,,"18.3",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-24",,"  100",,"  100",,," 2118","0.48",,"0.0","0.0",,"53","44",,"  350",,,"  360",,"17.9",,,"25.3","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-25",,"  100",,"  100",,," 0012","0.00",,"0.0","0.0",,"44","36",,"  340",,,"  315",,"21.0",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-26",,"   80",,"  100",,," 1500","0.00",,"0.0","0.0",,"40","32",,"   60",,,"   90",,"10.1",,,"13.9",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-27",,"   40",,"   40",,," 1112","0.00",,"0.0","0.0",,"59","28",,"  150",,,"  135",,"8.9",,,"16.1","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-28",,"  100",,"  100",,," 1436","0.35",,"0.0","0.0",,"52","47",,"  130",,,"  135",,"17.9",,,"27.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-29",,"  100",,"  100",,," 0142","0.00",,"0.0","0.0",,"53","45",,"  250",,,"  270",,"17.0",,,"21.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-30",,"  100",,"  100",,," 1054","0.53",,"0.0","0.0",,"48","41",,"   70",,,"   90",,"21.0",,,"28.9","    1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-03-31",,"  100",,"  100",,," 1418","0.06",,"0.0","0.0",,"47","42",,"  300",,,"  270",,"16.1",,,"23.0","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-01",,"   90",,"  100",,," 1218","0.00",,"0.0","0.0",,"49","39",,"  220",,,"  225",,"8.9",,,"13.9","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-02",,"   10",,"    0",,," 2330","0.00",,"0.0","0.0",,"69","37",,"   60",,,"   90",,"13.0",,,"20.8","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-03",,"   80",,"  100",,," 1854","0.03",,"0.0","0.0",,"69","45",,"  230",,,"  225",,"21.0",,,"34.4","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-04",,"   80",,"  100",,," 0830","0.00",,"0.0","0.0",,"54","34",,"  290",,,"  270",,"23.0",,,"33.3",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-05",,"    0",,"    0",,," 1242","0.00",,"0.0","0.0",,"58","31",,"  300",,,"  315",,"16.1",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-04-06",,"   50",,"   80",,," 1654","0.00",,"0.0","0.0",,"66","32",,"  180",,,"  180",,"15.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
